filial,ean,codigo_produto,descricao,complemento,tipo_oferta,preco_venda,preco_promocao,data_inicio,data_termino
43,7896025522398,2189871,ALICATE CUTICULA M BONI+PINCA PONTA RETA RF1771,UN,Regular,18.90,,,
43,7898581724292,2204970,PAPEL ACOPLADO DUOFRESH SPEC VERM 33X44 C/1000,UN,Regular,147.90,,,
43,7898581724285,2205007,PAPEL ACOPLADO DUOFRESH SPEC VERM 33X37 C/1000,UN,Regular,138.90,,,
43,7899588012702,2614434,CANETA MOLIN CORACAO PLUSH MINNIE,UN,Concorrencia,,,2026-03-09,2026-12-31
43,32187908,8855200,LANCHE FUNCIONARIO NATA C/CHIMIA,UN,Concorrencia,,,2026-01-26,2026-12-31
43,8844194,8844194,PAO NATA/CHIMIA FUNCIONARIO UN,kg,Concorrencia,,,2025-11-25,2026-12-31
43,7896359035458,2538655,CJ BULE+SUPOR P/FILT SANREMO TAM 102 ROSA,UN,Cartao,,,2026-03-27,2026-04-30
43,7891024037973,9906679,CR DENT COLGATE T ACAO M OR PCO ESP D1R,180g,Cartao,,,2026-03-27,2026-04-30
43,7891021005562,9366367,CAFE MELITTA GOURM REG BRA MOGIANA,250g,Cartao,,,2026-03-27,2026-04-30
43,7896943225937,2618890,TOALHA PRAIA BENE CASA ESTAMP 70X140CM,UN,Leve+Pague,,,2026-03-17,2026-04-05
43,7622210533296,2525372,SNACK CLUB SOCIAL CHURRAS NA BRASA,115g,Leve+Pague,,,2025-09-04,2026-12-30
43,7899970404009,2637129,CHOC HERSHEYS CAPIBARRA OVOMALTINE,77g,Leve+Pague,,,2026-02-25,2026-04-05
43,7891035990991,2157214,REPELENTE SBP ELET LIQ SUAVE REF 50%D C/2,UN,Promocao,,,2025-12-23,2026-04-30
43,7891035002458,2388564,INSET SBP AER ANTI AEDES AEGYPTI S CHEIRO,360ml,Promocao,,,2025-10-22,2026-04-30
43,7899674038661,2455938,MULTI INSET PROINSET ACAO TOTAL EMB ECON,350ml,Promocao,,,2025-10-28,2026-04-30
43,7891010618780,9699342,PROT D CAREFREE TODO DIA FLEXI S/P C/80 L+P-,UN,Oferta,,,2026-01-06,2026-12-31
